NROPRESTADOR,PRESTADOR,PLAN,TIPO DE PRESTADOR,ESPECIALIDAD,ZONA,DIRECCION,TELEFONO,BARRIO_LOCALIDAD
-,CLINICA PRIVADA RANELAGH,UNIVERSAL,Profesionales,REUMATOLOGIA,BUENOS AIRES,CAMINO GRAL. BELGRANO 4786,4223 0990,RANELAGH
-,CLINICA PRIVADA RANELAGH,UNIVERSAL,Profesionales,TRAUMATOLOGIA,BUENOS AIRES,CAMINO GRAL. BELGRANO 4786,4223 0990,RANELAGH
-,CLINICA PRIVADA RANELAGH,UNIVERSAL,Profesionales,UROLOGIA,BUENOS AIRES,CAMINO GRAL. BELGRANO 4786,4223 0990,RANELAGH
-,CLINICA PRIVADA RANELAGH,UNIVERSAL,Profesionales,CIRUGIA GINECOLOGICA,BUENOS AIRES,CAMINO GRAL. BELGRANO 4786,4223 0990,RANELAGH
-,CLINICA PRIVADA RANELAGH,UNIVERSAL,Profesionales,CIRUGIA LAPAROSCOPICA,BUENOS AIRES,CAMINO GRAL. BELGRANO 4786,4223 0990,RANELAGH
-,CLINICA PRIVADA RANELAGH,SUPERADOR,Profesionales,CIRUGIA PERCUTANEA,BUENOS AIRES,CAMINO GRAL. BELGRANO 4786,4223 0990,RANELAGH
-,CLINICA PRIVADA SAN VICENTE,UNIVERSAL,Profesionales,ALERGIA E INMUNOLOGIA,BUENOS AIRES,SARMIENTO 901,02225 482559 11 2606 3106,SAN VICENTE
-,CLINICA PRIVADA SAN VICENTE,UNIVERSAL,Diagnostico y tratamiento,ANALISIS CLINICOS,BUENOS AIRES,SARMIENTO 901,02225 482559 11 2606 3106,SAN VICENTE
-,CLINICA PRIVADA SAN VICENTE,UNIVERSAL,Profesionales,CARDIOLOGIA,BUENOS AIRES,SARMIENTO 901,02225 482559 11 2606 3106,SAN VICENTE
-,CLINICA PRIVADA SAN VICENTE,UNIVERSAL,Profesionales,CIRUGIA GENERAL,BUENOS AIRES,SARMIENTO 901,02225 482559 11 2606 3106,SAN VICENTE
-,CLINICA PRIVADA SAN VICENTE,UNIVERSAL,Profesionales,CLINICA MEDICA,BUENOS AIRES,SARMIENTO 901,02225 482559 11 2606 3106,SAN VICENTE
-,CLINICA PRIVADA SAN VICENTE,UNIVERSAL,Guardia,GUARDIA GENERAL,BUENOS AIRES,SARMIENTO 901,02225 482559 11 2606 3106,SAN VICENTE
-,CLINICA PRIVADA SAN VICENTE,UNIVERSAL,Profesionales,DERMATOLOGIA,BUENOS AIRES,SARMIENTO 901,02225 482559 11 2606 3106,SAN VICENTE
-,CLINICA PRIVADA SAN VICENTE,UNIVERSAL,Diagnostico y tratamiento,ECODOPPLER,BUENOS AIRES,SARMIENTO 901,02225 482559 11 2606 3106,SAN VICENTE
-,CLINICA PRIVADA SAN VICENTE,UNIVERSAL,Diagnostico y tratamiento,ECOCARDIOGRAFIA,BUENOS AIRES,SARMIENTO 901,02225 482559 11 2606 3106,SAN VICENTE
-,CLINICA PRIVADA SAN VICENTE,UNIVERSAL,Profesionales,ENDOCRINOLOGIA,BUENOS AIRES,SARMIENTO 901,02225 482559 11 2606 3106,SAN VICENTE
-,CLINICA PRIVADA SAN VICENTE,UNIVERSAL,Diagnostico y tratamiento,ERGOMETRIA,BUENOS AIRES,SARMIENTO 901,02225 482559 11 2606 3106,SAN VICENTE
-,CLINICA PRIVADA SAN VICENTE,UNIVERSAL,Profesionales,GASTROENTEROLOGIA,BUENOS AIRES,SARMIENTO 901,02225 482559 11 2606 3106,SAN VICENTE
-,CLINICA PRIVADA SAN VICENTE,UNIVERSAL,Profesionales,GINECOLOGIA,BUENOS AIRES,SARMIENTO 901,02225 482559 11 2606 3106,SAN VICENTE
-,CLINICA PRIVADA SAN VICENTE,UNIVERSAL,Profesionales,HEMATOLOGIA,BUENOS AIRES,SARMIENTO 901,02225 482559 11 2606 3106,SAN VICENTE
-,CLINICA PRIVADA SAN VICENTE,UNIVERSAL,Diagnostico y tratamiento,PRESUROMETRIA - HOLTER,BUENOS AIRES,SARMIENTO 901,02225 482559 11 2606 3106,SAN VICENTE
-,CLINICA PRIVADA SAN VICENTE,UNIVERSAL,Profesionales,INFECTOLOGIA,BUENOS AIRES,SARMIENTO 901,02225 482559 11 2606 3106,SAN VICENTE
-,CLINICA PRIVADA SAN VICENTE,UNIVERSAL,Clinicas y sanatorios para internacion,INTERNACION GENERAL,BUENOS AIRES,SARMIENTO 901,02225 482559 11 2606 3106,SAN VICENTE
-,CLINICA PRIVADA SAN VICENTE,UNIVERSAL,Clinicas y sanatorios para internacion,INTERNACION PEDIATRICA,BUENOS AIRES,SARMIENTO 901,02225 482559 11 2606 3106,SAN VICENTE
-,BALLOTTA SILVIA MONICA,UNIVERSAL,Diagnostico y tratamiento,KINESIOLOGIA,BUENOS AIRES,29 SEPTIEMBRE Nº2112 P 1º B,4241 7359,LANUS
-,CLINICA PRIVADA SAN VICENTE,UNIVERSAL,Profesionales,NEFROLOGIA,BUENOS AIRES,SARMIENTO 901,02225 482559 11 2606 3106,SAN VICENTE
-,CLINICA PRIVADA SAN VICENTE,UNIVERSAL,Profesionales,NEUMONOLOGIA,BUENOS AIRES,SARMIENTO 901,02225 482559 11 2606 3106,SAN VICENTE
-,CLINICA PRIVADA SAN VICENTE,UNIVERSAL,Profesionales,NEUROLOGIA,BUENOS AIRES,SARMIENTO 901,02225 482559 11 2606 3106,SAN VICENTE
-,CLINICA PRIVADA SAN VICENTE,UNIVERSAL,Profesionales,NUTRICION Y DIABETES,BUENOS AIRES,SARMIENTO 901,02225 482559 11 2606 3106,SAN VICENTE
-,CLINICA PRIVADA SAN VICENTE,UNIVERSAL,Profesionales,OBSTETRICIA,BUENOS AIRES,SARMIENTO 901,02225 482559 11 2606 3106,SAN VICENTE
-,CLINICA PRIVADA SAN VICENTE,UNIVERSAL,Profesionales,OFTALMOLOGIA,BUENOS AIRES,SARMIENTO 901,02225 482559 11 2606 3106,SAN VICENTE
-,CLINICA PRIVADA SAN VICENTE,UNIVERSAL,Profesionales,OTORRINOLARINGOLOGIA,BUENOS AIRES,SARMIENTO 901,02225 482559 11 2606 3106,SAN VICENTE
-,CLINICA PRIVADA SAN VICENTE,UNIVERSAL,Profesionales,PEDIATRIA,BUENOS AIRES,SARMIENTO 901,02225 482559 11 2606 3106,SAN VICENTE
-,CLINICA PRIVADA SAN VICENTE,UNIVERSAL,Diagnostico y tratamiento,RADIOLOGIA,BUENOS AIRES,SARMIENTO 901,02225 482559 11 2606 3106,SAN VICENTE
-,CLINICA PRIVADA SAN VICENTE,UNIVERSAL,Profesionales,TRAUMATOLOGIA,BUENOS AIRES,SARMIENTO 901,02225 482559 11 2606 3106,SAN VICENTE
-,CLINICA PRIVADA SAN VICENTE,UNIVERSAL,Profesionales,UROLOGIA,BUENOS AIRES,SARMIENTO 901,02225 482559 11 2606 3106,SAN VICENTE
-,CLINICA PRIVADA SAN VICENTE,UNIVERSAL,Profesionales,CIRUGIA GINECOLOGICA,BUENOS AIRES,SARMIENTO 901,02225 482559 11 2606 3106,SAN VICENTE
-,CLINICA PRIVADA SAN VICENTE,UNIVERSAL,Profesionales,CIRUGIA LAPAROSCOPICA,BUENOS AIRES,SARMIENTO 901,02225 482559 11 2606 3106,SAN VICENTE
-,CLINICA PRIVADA SAN VICENTE,UNIVERSAL,Profesionales,CIRUGIA PERCUTANEA,BUENOS AIRES,SARMIENTO 901,02225 482559 11 2606 3106,SAN VICENTE
-,BANTA MARCELA NOEMI,UNIVERSAL,Diagnostico y tratamiento,KINESIOLOGIA,BUENOS AIRES,PAZ 631,4257 6921,QUILMES
-,POLICLINICO LOMAS,UNIVERSAL,Profesionales,TRAUMATOLOGIA,BUENOS AIRES,HIPOLITO YRIGOYEN 8439,4239 3300,LOMAS DE ZAMORA
-,POLICLINICO LOMAS,UNIVERSAL,Profesionales,CLINICA MEDICA,BUENOS AIRES,HIPOLITO YRIGOYEN 8439,4239 3300,LOMAS DE ZAMORA
-,POLICLINICO LOMAS,UNIVERSAL,Profesionales,DERMATOLOGIA,BUENOS AIRES,HIPOLITO YRIGOYEN 8439,4239 3300,LOMAS DE ZAMORA
-,DIAGNOSIS SCHIFFER GULL SA,UNIVERSAL,Diagnostico y tratamiento,RESONANCIA MAGNETICA NUCLEAR,BUENOS AIRES,AV. AMOEDO ESQ. URQUIZA,4257 7779,QUILMES
-,DIAGNOSIS SCHIFFER GULL SA,UNIVERSAL,Diagnostico y tratamiento,TOMOGRAFIA COMPUTADA,BUENOS AIRES,AV. AMOEDO ESQ. URQUIZA,4257 7779,QUILMES
-,DIAGNOSIS SCHIFFER GULL SA,UNIVERSAL,Diagnostico y tratamiento,ECODOPPLER,BUENOS AIRES,AV. AMOEDO ESQ. URQUIZA,4257 7779,QUILMES
-,CENTRO DE GASTROENTEROLOGIA QUILMES,UNIVERSAL,Diagnostico y tratamiento,ENDOSCOPIA DIGESTIVA,BUENOS AIRES,BRANDSEN 434,2080 0912 2083 2806,QUILMES
-,POLICLINICO LOMAS,UNIVERSAL,Profesionales,GINECOLOGIA,BUENOS AIRES,HIPOLITO YRIGOYEN 8439,4239 3300,LOMAS DE ZAMORA
-,POLICLINICO LOMAS,UNIVERSAL,Profesionales,CIRUGIA GENERAL,BUENOS AIRES,HIPOLITO YRIGOYEN 8439,4239 3300,LOMAS DE ZAMORA
-,POLICLINICO LOMAS,UNIVERSAL,Profesionales,PEDIATRIA,BUENOS AIRES,HIPOLITO YRIGOYEN 8439,4239 3300,LOMAS DE ZAMORA
-,INSTITUTO 12 DE OCTUBRE,UNIVERSAL,Profesionales,CARDIOLOGIA,BUENOS AIRES,12 DE OCTUBRE 926,2098 5759,QUILMES
-,INSTITUTO 12 DE OCTUBRE,UNIVERSAL,Diagnostico y tratamiento,ECODOPPLER,BUENOS AIRES,12 DE OCTUBRE 926,2098 5759,QUILMES
-,INSTITUTO 12 DE OCTUBRE,UNIVERSAL,Diagnostico y tratamiento,ECOGRAFIA,BUENOS AIRES,12 DE OCTUBRE 926,2098 5759,QUILMES
-,INSTITUTO 12 DE OCTUBRE,UNIVERSAL,Diagnostico y tratamiento,PRESUROMETRIA - HOLTER,BUENOS AIRES,12 DE OCTUBRE 926,2098 5759,QUILMES
-,INSTITUTO 12 DE OCTUBRE,UNIVERSAL,Diagnostico y tratamiento,ELECTROCARDIOGRAMA,BUENOS AIRES,12 DE OCTUBRE 926,2098 5759,QUILMES
-,INSTITUTO 12 DE OCTUBRE,UNIVERSAL,Diagnostico y tratamiento,ESTUDIOS MAMARIOS,BUENOS AIRES,12 DE OCTUBRE 926,2098 5759,QUILMES
-,INSTITUTO 12 DE OCTUBRE,UNIVERSAL,Diagnostico y tratamiento,RADIOLOGIA,BUENOS AIRES,12 DE OCTUBRE 926,2098 5759,QUILMES
-,POLICLINICO LOMAS,UNIVERSAL,Profesionales,FLEBOLOGIA,BUENOS AIRES,HIPOLITO YRIGOYEN 8439,4239 3300,LOMAS DE ZAMORA
-,POLICLINICO LOMAS,UNIVERSAL,Diagnostico y tratamiento,OTOEMISIONES ACUSTICAS,BUENOS AIRES,HIPOLITO YRIGOYEN 8439,4239 3300,LOMAS DE ZAMORA
-,POLICLINICO LOMAS,UNIVERSAL,Profesionales,HEMATOLOGIA,BUENOS AIRES,HIPOLITO YRIGOYEN 8439,4239 3300,LOMAS DE ZAMORA
-,PANE MARIANO DAMIAN,UNIVERSAL,Diagnostico y tratamiento,KINESIOLOGIA,BUENOS AIRES,REP DEL LIBANO 2628,15 5065 0300,QUILMES
-,PANE MARIANO DAMIAN,UNIVERSAL,Diagnostico y tratamiento,KINESIOLOGIA,BUENOS AIRES,ANDRES BARANDA 1546,4257 7455,QUILMES
-,PEBE VICTOR RICARDO,UNIVERSAL,Profesionales,INFECTOLOGIA INFANTIL,BUENOS AIRES,COLON 3450,4286 1667,LANUS
-,PEBE VICTOR RICARDO,UNIVERSAL,Profesionales,PEDIATRIA,BUENOS AIRES,COLON 3450,4286 1667,LANUS
-,PEBE VICTOR RICARDO,UNIVERSAL,Profesionales,INFECTOLOGIA INFANTIL,BUENOS AIRES,MEEKS 15 9º PISO DPTO. 43,4243 5347 4244 4696,LOMAS DE ZAMORA
-,PEBE VICTOR RICARDO,UNIVERSAL,Profesionales,PEDIATRIA,BUENOS AIRES,MEEKS 15 9º PISO DPTO. 43,4243 5347 4244 4696,LOMAS DE ZAMORA
-,PEREZ CASAL DANIELA,UNIVERSAL,Profesionales,CARDIOLOGIA,BUENOS AIRES,HIPÓLITO IRIGOYEN 439,4254 2582,QUILMES
-,PEREZ CASAL DANIELA,UNIVERSAL,Diagnostico y tratamiento,ERGOMETRIA,BUENOS AIRES,HIPÓLITO IRIGOYEN 439,4254 2582,QUILMES
-,BARRIENTOS DORA MABEL,UNIVERSAL,Diagnostico y tratamiento,KINESIOLOGIA,BUENOS AIRES,PEDRO MENDOZA 2080,4665 3967,HURLINGHAM
-,CENTRO MEDICO PREVENTUS S.R.L,SUPERADOR,Diagnostico y tratamiento,DENSITOMETRIA OSEA,BUENOS AIRES,ALMIRANTE BROWN 342,5245 4242,QUILMES
-,CENTRO MEDICO PREVENTUS S.R.L,SUPERADOR,Diagnostico y tratamiento,ECODOPPLER,BUENOS AIRES,ALMIRANTE BROWN 342,5245 4242,QUILMES
-,CENTRO MEDICO PREVENTUS S.R.L,SUPERADOR,Diagnostico y tratamiento,ECOGRAFIA,BUENOS AIRES,ALMIRANTE BROWN 342,5245 4242,QUILMES
-,CENTRO MEDICO PREVENTUS S.R.L,SUPERADOR,Diagnostico y tratamiento,ESTUDIOS MAMARIOS,BUENOS AIRES,ALMIRANTE BROWN 342,5245 4242,QUILMES
-,CENTRO MEDICO PREVENTUS S.R.L,SUPERADOR,Diagnostico y tratamiento,PUNCION MAMARIA,BUENOS AIRES,ALMIRANTE BROWN 342,5245 4242,QUILMES
-,CENTRO MEDICO PREVENTUS S.R.L,SUPERADOR,Diagnostico y tratamiento,RADIOLOGIA,BUENOS AIRES,ALMIRANTE BROWN 342,5245 4242,QUILMES
-,CENTRO MEDICO PREVENTUS S.R.L,SUPERADOR,Diagnostico y tratamiento,ECOCARDIOGRAFIA,BUENOS AIRES,ALMIRANTE BROWN 342,5245 4242,QUILMES
-,RADIOMED CENTRO DE ALTA COMPLEJIDAD,UNIVERSAL,Diagnostico y tratamiento,ECODOPPLER,BUENOS AIRES,ALBERDI 3172,4255 0670,FLORENCIO VARELA
-,RADIOMED CENTRO DE ALTA COMPLEJIDAD,UNIVERSAL,Diagnostico y tratamiento,ECOGRAFIA,BUENOS AIRES,ALBERDI 3172,4255 0670,FLORENCIO VARELA
-,RADIOMED CENTRO DE ALTA COMPLEJIDAD,UNIVERSAL,Diagnostico y tratamiento,RADIOLOGIA,BUENOS AIRES,ALBERDI 3172,4255 0670,FLORENCIO VARELA
-,RADIOMED CENTRO DE ALTA COMPLEJIDAD,UNIVERSAL,Diagnostico y tratamiento,RESONANCIA MAGNETICA NUCLEAR,BUENOS AIRES,ALBERDI 3172,4255 0670,FLORENCIO VARELA
-,RDA - SEDE CASTELLI,UNIVERSAL,Diagnostico y tratamiento,ECODOPPLER,BUENOS AIRES,CASTELLI 434,4292 3913,LOMAS DE ZAMORA
-,RDA - SEDE CASTELLI,UNIVERSAL,Diagnostico y tratamiento,ECOGRAFIA,BUENOS AIRES,CASTELLI 434,4292 3913,LOMAS DE ZAMORA
-,RDA - SEDE CASTELLI,UNIVERSAL,Diagnostico y tratamiento,ECOCARDIOGRAFIA,BUENOS AIRES,CASTELLI 434,4292 3913,LOMAS DE ZAMORA
-,RDA - SEDE CASTELLI,UNIVERSAL,Diagnostico y tratamiento,ESTUDIOS MAMARIOS,BUENOS AIRES,CASTELLI 434,4292 3913,LOMAS DE ZAMORA
-,RDA - SEDE CASTELLI,UNIVERSAL,Diagnostico y tratamiento,DENSITOMETRIA OSEA,BUENOS AIRES,CASTELLI 434,4292 3913,LOMAS DE ZAMORA
-,RDA - SEDE CASTELLI,UNIVERSAL,Diagnostico y tratamiento,PUNCION BAJO ECOGRAFIA,BUENOS AIRES,CASTELLI 434,4292 3913,LOMAS DE ZAMORA
-,RDA - SEDE CASTELLI,UNIVERSAL,Diagnostico y tratamiento,PUNCION BAJO TAC,BUENOS AIRES,CASTELLI 434,4292 3913,LOMAS DE ZAMORA
-,RDA - SEDE CASTELLI,UNIVERSAL,Diagnostico y tratamiento,RADIOLOGIA,BUENOS AIRES,CASTELLI 434,4292 3913,LOMAS DE ZAMORA
-,RDA - SEDE CASTELLI,UNIVERSAL,Diagnostico y tratamiento,RESONANCIA MAGNETICA NUCLEAR,BUENOS AIRES,CASTELLI 434,4292 3913,LOMAS DE ZAMORA
-,RDA - SEDE CASTELLI,UNIVERSAL,Diagnostico y tratamiento,TOMOGRAFIA COMPUTADA,BUENOS AIRES,CASTELLI 434,4292 3913,LOMAS DE ZAMORA
-,RDA - SEDE ESPORA,UNIVERSAL,Diagnostico y tratamiento,DENSITOMETRIA OSEA,BUENOS AIRES,AV. ESPORA 564,4294 1999,ADROGUE
-,RDA - SEDE ESPORA,UNIVERSAL,Diagnostico y tratamiento,ECODOPPLER,BUENOS AIRES,AV. ESPORA 564,4294 1999,ADROGUE
-,RDA - SEDE ESPORA,UNIVERSAL,Diagnostico y tratamiento,ECOGRAFIA,BUENOS AIRES,AV. ESPORA 564,4294 1999,ADROGUE
-,RDA - SEDE ESPORA,UNIVERSAL,Diagnostico y tratamiento,ECOCARDIOGRAFIA,BUENOS AIRES,AV. ESPORA 564,4294 1999,ADROGUE
-,RDA - SEDE ESPORA,UNIVERSAL,Diagnostico y tratamiento,ESTUDIOS MAMARIOS,BUENOS AIRES,AV. ESPORA 564,4294 1999,ADROGUE
-,RDA - SEDE ESPORA,UNIVERSAL,Diagnostico y tratamiento,PUNCION BAJO ECOGRAFIA,BUENOS AIRES,AV. ESPORA 564,4294 1999,ADROGUE
-,RDA - SEDE ESPORA,UNIVERSAL,Diagnostico y tratamiento,PUNCION BAJO TAC,BUENOS AIRES,AV. ESPORA 564,4294 1999,ADROGUE
-,RDA - SEDE ESPORA,UNIVERSAL,Diagnostico y tratamiento,RADIOLOGIA,BUENOS AIRES,AV. ESPORA 564,4294 1999,ADROGUE
-,RDA - SEDE ESPORA,UNIVERSAL,Diagnostico y tratamiento,RESONANCIA MAGNETICA NUCLEAR,BUENOS AIRES,AV. ESPORA 564,4294 1999,ADROGUE
-,RDA - SEDE ESPORA,UNIVERSAL,Diagnostico y tratamiento,TOMOGRAFIA COMPUTADA,BUENOS AIRES,AV. ESPORA 564,4294 1999,ADROGUE
-,RDA - SEDE HIPOLITO YRIGOYEN,UNIVERSAL,Diagnostico y tratamiento,ECODOPPLER,BUENOS AIRES,HIPOLITO YRIGOYEN 8400,4292 9464,LOMAS DE ZAMORA
-,RDA - SEDE HIPOLITO YRIGOYEN,UNIVERSAL,Diagnostico y tratamiento,ECOGRAFIA,BUENOS AIRES,HIPOLITO YRIGOYEN 8400,4292 9464,LOMAS DE ZAMORA
-,RDA - SEDE HIPOLITO YRIGOYEN,UNIVERSAL,Diagnostico y tratamiento,ECOCARDIOGRAFIA,BUENOS AIRES,HIPOLITO YRIGOYEN 8400,4292 9464,LOMAS DE ZAMORA
-,RDA - SEDE HIPOLITO YRIGOYEN,UNIVERSAL,Diagnostico y tratamiento,DENSITOMETRIA OSEA,BUENOS AIRES,HIPOLITO YRIGOYEN 8400,4292 9464,LOMAS DE ZAMORA
-,RDA - SEDE HIPOLITO YRIGOYEN,UNIVERSAL,Diagnostico y tratamiento,PUNCION BAJO ECOGRAFIA,BUENOS AIRES,HIPOLITO YRIGOYEN 8400,4292 9464,LOMAS DE ZAMORA
-,RDA - SEDE HIPOLITO YRIGOYEN,UNIVERSAL,Diagnostico y tratamiento,PUNCION BAJO TAC,BUENOS AIRES,HIPOLITO YRIGOYEN 8400,4292 9464,LOMAS DE ZAMORA
-,RDA - SEDE HIPOLITO YRIGOYEN,UNIVERSAL,Diagnostico y tratamiento,ESTUDIOS MAMARIOS,BUENOS AIRES,HIPOLITO YRIGOYEN 8400,4292 9464,LOMAS DE ZAMORA
-,RDA - SEDE HIPOLITO YRIGOYEN,UNIVERSAL,Diagnostico y tratamiento,RADIOLOGIA,BUENOS AIRES,HIPOLITO YRIGOYEN 8400,4292 9464,LOMAS DE ZAMORA
-,RDA - SEDE HIPOLITO YRIGOYEN,UNIVERSAL,Diagnostico y tratamiento,RESONANCIA MAGNETICA NUCLEAR,BUENOS AIRES,HIPOLITO YRIGOYEN 8400,4292 9464,LOMAS DE ZAMORA
-,RDA - SEDE HIPOLITO YRIGOYEN,UNIVERSAL,Diagnostico y tratamiento,TOMOGRAFIA COMPUTADA,BUENOS AIRES,HIPOLITO YRIGOYEN 8400,4292 9464,LOMAS DE ZAMORA
-,RDA - SEDE LANUS,UNIVERSAL,Diagnostico y tratamiento,PUNCION BAJO ECOGRAFIA,BUENOS AIRES,HIPOLITO YRIGOYEN 3608,4240 2343,LANUS
-,RDA - SEDE LANUS,UNIVERSAL,Diagnostico y tratamiento,PUNCION BAJO TAC,BUENOS AIRES,HIPOLITO YRIGOYEN 3608,4240 2343,LANUS
-,RDA - SEDE LANUS,UNIVERSAL,Diagnostico y tratamiento,DENSITOMETRIA OSEA,BUENOS AIRES,HIPOLITO YRIGOYEN 3608,4240 2343,LANUS
-,RDA - SEDE LANUS,UNIVERSAL,Diagnostico y tratamiento,ECODOPPLER,BUENOS AIRES,HIPOLITO YRIGOYEN 3608,4240 2343,LANUS
-,RDA - SEDE LANUS,UNIVERSAL,Diagnostico y tratamiento,ECOGRAFIA,BUENOS AIRES,HIPOLITO YRIGOYEN 3608,4240 2343,LANUS
-,RDA - SEDE LANUS,UNIVERSAL,Diagnostico y tratamiento,ECOCARDIOGRAFIA,BUENOS AIRES,HIPOLITO YRIGOYEN 3608,4240 2343,LANUS
-,RDA - SEDE LANUS,UNIVERSAL,Diagnostico y tratamiento,ESTUDIOS MAMARIOS,BUENOS AIRES,HIPOLITO YRIGOYEN 3608,4240 2343,LANUS
-,RDA - SEDE LANUS,UNIVERSAL,Diagnostico y tratamiento,RADIOLOGIA,BUENOS AIRES,HIPOLITO YRIGOYEN 3608,4240 2343,LANUS
-,RDA - SEDE LANUS,UNIVERSAL,Diagnostico y tratamiento,RESONANCIA MAGNETICA NUCLEAR,BUENOS AIRES,HIPOLITO YRIGOYEN 3608,4240 2343,LANUS
-,RDA - SEDE LANUS,UNIVERSAL,Diagnostico y tratamiento,TOMOGRAFIA COMPUTADA,BUENOS AIRES,HIPOLITO YRIGOYEN 3608,4240 2343,LANUS
-,RDA - SEDE MONTE GRANDE,UNIVERSAL,Diagnostico y tratamiento,RESONANCIA MAGNETICA NUCLEAR,BUENOS AIRES,ARANA 127,4290 8306 4281 6932,MONTE GRANDE
-,RDA - SEDE MONTE GRANDE,UNIVERSAL,Diagnostico y tratamiento,DENSITOMETRIA OSEA,BUENOS AIRES,ARANA 127,4290 8306 4281 6932,MONTE GRANDE
-,RDA - SEDE MONTE GRANDE,UNIVERSAL,Diagnostico y tratamiento,ECODOPPLER,BUENOS AIRES,ARANA 127,4290 8306 4281 6932,MONTE GRANDE
-,RDA - SEDE MONTE GRANDE,UNIVERSAL,Diagnostico y tratamiento,ECOGRAFIA,BUENOS AIRES,ARANA 127,4290 8306 4281 6932,MONTE GRANDE
-,RDA - SEDE MONTE GRANDE,UNIVERSAL,Diagnostico y tratamiento,ECOCARDIOGRAFIA,BUENOS AIRES,ARANA 127,4290 8306 4281 6932,MONTE GRANDE
-,RDA - SEDE MONTE GRANDE,UNIVERSAL,Diagnostico y tratamiento,ESTUDIOS MAMARIOS,BUENOS AIRES,ARANA 127,4290 8306 4281 6932,MONTE GRANDE
-,RDA - SEDE MONTE GRANDE,UNIVERSAL,Diagnostico y tratamiento,PUNCION BAJO ECOGRAFIA,BUENOS AIRES,ARANA 127,4290 8306 4281 6932,MONTE GRANDE
-,RDA - SEDE MONTE GRANDE,UNIVERSAL,Diagnostico y tratamiento,PUNCION BAJO TAC,BUENOS AIRES,ARANA 127,4290 8306 4281 6932,MONTE GRANDE
-,RDA - SEDE MONTE GRANDE,UNIVERSAL,Diagnostico y tratamiento,RADIOLOGIA,BUENOS AIRES,ARANA 127,4290 8306 4281 6932,MONTE GRANDE
-,RDA - SEDE MONTE GRANDE,UNIVERSAL,Diagnostico y tratamiento,TOMOGRAFIA COMPUTADA,BUENOS AIRES,ARANA 127,4290 8306 4281 6932,MONTE GRANDE
-,POLICLINICO LOMAS,UNIVERSAL,Diagnostico y tratamiento,MONITOREO FETAL,BUENOS AIRES,HIPOLITO YRIGOYEN 8439,4239 3300,LOMAS DE ZAMORA
-,BARROSO MATIAS ALEJANDRO,UNIVERSAL,Diagnostico y tratamiento,KINESIOLOGIA,BUENOS AIRES,AV.CONSTITUYENTES 512,5926 2084,GENERAL PACHECO
-,BARTOLOMEDI SILVINA,UNIVERSAL,Diagnostico y tratamiento,KINESIOLOGIA,BUENOS AIRES,RIVADAVIA 17901 P 4,4627 9904,MORON
-,BARTOLOMEDI SILVINA,UNIVERSAL,Diagnostico y tratamiento,KINESIOLOGIA,BUENOS AIRES,ARDOINO 714,4469 9500,RAMOS MEJIA
