NROPRESTADOR,PRESTADOR,PLAN,TIPO DE PRESTADOR,ESPECIALIDAD,ZONA,DIRECCION,TELEFONO,BARRIO_LOCALIDAD
66967,ASOCIAC. DE CLINICAS Y SANAT.DEL CHACO,UNIVERSAL,Profesionales,NEUMONOLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66967,ASOCIAC. DE CLINICAS Y SANAT.DEL CHACO,UNIVERSAL,Profesionales,NEUROLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66967,ASOCIAC. DE CLINICAS Y SANAT.DEL CHACO,UNIVERSAL,Profesionales,NUTRICION Y DIABETES,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66967,ASOCIAC. DE CLINICAS Y SANAT.DEL CHACO,UNIVERSAL,Profesionales,OBSTETRICIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66967,ASOCIAC. DE CLINICAS Y SANAT.DEL CHACO,UNIVERSAL,Profesionales,OFTALMOLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66967,ASOCIAC. DE CLINICAS Y SANAT.DEL CHACO,UNIVERSAL,Profesionales,ONCOLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66967,ASOCIAC. DE CLINICAS Y SANAT.DEL CHACO,UNIVERSAL,Profesionales,OTORRINOLARINGOLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66967,ASOCIAC. DE CLINICAS Y SANAT.DEL CHACO,UNIVERSAL,Profesionales,PEDIATRIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66967,ASOCIAC. DE CLINICAS Y SANAT.DEL CHACO,UNIVERSAL,Profesionales,REUMATOLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66967,ASOCIAC. DE CLINICAS Y SANAT.DEL CHACO,UNIVERSAL,Profesionales,TRAUMATOLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66967,ASOCIAC. DE CLINICAS Y SANAT.DEL CHACO,UNIVERSAL,Profesionales,UROLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66967,ASOCIAC. DE CLINICAS Y SANAT.DEL CHACO,UNIVERSAL,Diagnostico y tratamiento,ECODOPPLER,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66967,ASOCIAC. DE CLINICAS Y SANAT.DEL CHACO,UNIVERSAL,Diagnostico y tratamiento,ELECTROENCEFALOGRAMA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66967,ASOCIAC. DE CLINICAS Y SANAT.DEL CHACO,UNIVERSAL,Diagnostico y tratamiento,RADIOLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66967,ASOCIAC. DE CLINICAS Y SANAT.DEL CHACO,UNIVERSAL,Diagnostico y tratamiento,RESONANCIA MAGNETICA NUCLEAR,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66967,ASOCIAC. DE CLINICAS Y SANAT.DEL CHACO,UNIVERSAL,Diagnostico y tratamiento,TOMOGRAFIA COMPUTADA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66967,ASOCIAC. DE CLINICAS Y SANAT.DEL CHACO,UNIVERSAL,Profesionales,TRAUMATOLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66967,ASOCIAC. DE CLINICAS Y SANAT.DEL CHACO,UNIVERSAL,Clinicas y sanatorios para internacion,INTERNACION PEDIATRICA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66988,ASOC. DE TRAUMAT. Y ORTOPEDIA DEL CHACO,UNIVERSAL,Profesionales,TRAUMATOLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66988,ASOC. DE TRAUMAT. Y ORTOPEDIA DEL CHACO,UNIVERSAL,Profesionales,CIRUGIA TRAUMATOLOGICA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66971,COLEGIO BIOQUIMICO DEL CHACO,UNIVERSAL,Diagnostico y tratamiento,ANALISIS CLINICOS,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
67453,COLEGIO DE KINESIOLOGOS DE LA PCIA.CHACO,UNIVERSAL,Profesionales,KINESIOLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66972,COLEGIO MEDICO GREMIAL DEL CHACO,UNIVERSAL,Profesionales,CARDIOLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66972,COLEGIO MEDICO GREMIAL DEL CHACO,UNIVERSAL,Profesionales,CIRUGIA PLASTICA Y REPARADORA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66972,COLEGIO MEDICO GREMIAL DEL CHACO,UNIVERSAL,Profesionales,DERMATOLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66972,COLEGIO MEDICO GREMIAL DEL CHACO,UNIVERSAL,Profesionales,ENDOCRINOLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66972,COLEGIO MEDICO GREMIAL DEL CHACO,UNIVERSAL,Profesionales,KINESIOLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66972,COLEGIO MEDICO GREMIAL DEL CHACO,UNIVERSAL,Profesionales,FONOAUDIOLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66972,COLEGIO MEDICO GREMIAL DEL CHACO,UNIVERSAL,Profesionales,GASTROENTEROLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66972,COLEGIO MEDICO GREMIAL DEL CHACO,UNIVERSAL,Profesionales,GINECOLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66972,COLEGIO MEDICO GREMIAL DEL CHACO,UNIVERSAL,Profesionales,INFECTOLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66972,COLEGIO MEDICO GREMIAL DEL CHACO,UNIVERSAL,Profesionales,NEFROLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66972,COLEGIO MEDICO GREMIAL DEL CHACO,UNIVERSAL,Profesionales,NEUMONOLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66972,COLEGIO MEDICO GREMIAL DEL CHACO,UNIVERSAL,Profesionales,NEUROLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66972,COLEGIO MEDICO GREMIAL DEL CHACO,UNIVERSAL,Profesionales,NUTRICION Y DIABETES,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66972,COLEGIO MEDICO GREMIAL DEL CHACO,UNIVERSAL,Profesionales,OBSTETRICIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66972,COLEGIO MEDICO GREMIAL DEL CHACO,UNIVERSAL,Profesionales,OFTALMOLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66972,COLEGIO MEDICO GREMIAL DEL CHACO,UNIVERSAL,Profesionales,ONCOLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66972,COLEGIO MEDICO GREMIAL DEL CHACO,UNIVERSAL,Profesionales,OTORRINOLARINGOLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66972,COLEGIO MEDICO GREMIAL DEL CHACO,UNIVERSAL,Profesionales,PEDIATRIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66972,COLEGIO MEDICO GREMIAL DEL CHACO,UNIVERSAL,Profesionales,SALUD MENTAL,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66972,COLEGIO MEDICO GREMIAL DEL CHACO,UNIVERSAL,Profesionales,REUMATOLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66972,COLEGIO MEDICO GREMIAL DEL CHACO,UNIVERSAL,Profesionales,TRAUMATOLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66972,COLEGIO MEDICO GREMIAL DEL CHACO,UNIVERSAL,Profesionales,UROLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66972,COLEGIO MEDICO GREMIAL DEL CHACO,UNIVERSAL,Diagnostico y tratamiento,ECODOPPLER,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66972,COLEGIO MEDICO GREMIAL DEL CHACO,UNIVERSAL,Diagnostico y tratamiento,ELECTROENCEFALOGRAMA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66972,COLEGIO MEDICO GREMIAL DEL CHACO,UNIVERSAL,Diagnostico y tratamiento,RADIOLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66972,COLEGIO MEDICO GREMIAL DEL CHACO,UNIVERSAL,Diagnostico y tratamiento,RESONANCIA MAGNETICA NUCLEAR,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66972,COLEGIO MEDICO GREMIAL DEL CHACO,UNIVERSAL,Diagnostico y tratamiento,TOMOGRAFIA COMPUTADA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66972,COLEGIO MEDICO GREMIAL DEL CHACO,UNIVERSAL,Clinicas y sanatorios para internacion,INTERNACION GENERAL,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
66972,COLEGIO MEDICO GREMIAL DEL CHACO,UNIVERSAL,Clinicas y sanatorios para internacion,INTERNACION PEDIATRICA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
68529,FEDERACION MEDICA DEL CHACO,UNIVERSAL,Profesionales,CARDIOLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
68529,FEDERACION MEDICA DEL CHACO,UNIVERSAL,Profesionales,DERMATOLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
68529,FEDERACION MEDICA DEL CHACO,UNIVERSAL,Profesionales,ENDOCRINOLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
68529,FEDERACION MEDICA DEL CHACO,UNIVERSAL,Profesionales,KINESIOLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
68529,FEDERACION MEDICA DEL CHACO,UNIVERSAL,Profesionales,GASTROENTEROLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
68529,FEDERACION MEDICA DEL CHACO,UNIVERSAL,Profesionales,GINECOLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
68529,FEDERACION MEDICA DEL CHACO,UNIVERSAL,Profesionales,INFECTOLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
68529,FEDERACION MEDICA DEL CHACO,UNIVERSAL,Profesionales,NEFROLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
68529,FEDERACION MEDICA DEL CHACO,UNIVERSAL,Profesionales,NEUMONOLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
68529,FEDERACION MEDICA DEL CHACO,UNIVERSAL,Profesionales,NEUROLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
68529,FEDERACION MEDICA DEL CHACO,UNIVERSAL,Profesionales,NUTRICION Y DIABETES,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
68529,FEDERACION MEDICA DEL CHACO,UNIVERSAL,Profesionales,OBSTETRICIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
68529,FEDERACION MEDICA DEL CHACO,UNIVERSAL,Profesionales,OFTALMOLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
68529,FEDERACION MEDICA DEL CHACO,UNIVERSAL,Profesionales,ONCOLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
68529,FEDERACION MEDICA DEL CHACO,UNIVERSAL,Profesionales,OTORRINOLARINGOLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
68529,FEDERACION MEDICA DEL CHACO,UNIVERSAL,Profesionales,PEDIATRIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
68529,FEDERACION MEDICA DEL CHACO,UNIVERSAL,Profesionales,REUMATOLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
68529,FEDERACION MEDICA DEL CHACO,UNIVERSAL,Profesionales,TRAUMATOLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
68529,FEDERACION MEDICA DEL CHACO,UNIVERSAL,Profesionales,UROLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
68529,FEDERACION MEDICA DEL CHACO,UNIVERSAL,Diagnostico y tratamiento,DENSITOMETRIA OSEA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
68529,FEDERACION MEDICA DEL CHACO,UNIVERSAL,Diagnostico y tratamiento,ECODOPPLER,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
68529,FEDERACION MEDICA DEL CHACO,UNIVERSAL,Diagnostico y tratamiento,ENDOSCOPIA DIGESTIVA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
68529,FEDERACION MEDICA DEL CHACO,UNIVERSAL,Diagnostico y tratamiento,ELECTROENCEFALOGRAMA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
68529,FEDERACION MEDICA DEL CHACO,UNIVERSAL,Diagnostico y tratamiento,ESTUDIOS MAMARIOS,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
68529,FEDERACION MEDICA DEL CHACO,UNIVERSAL,Diagnostico y tratamiento,RADIOLOGIA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
68529,FEDERACION MEDICA DEL CHACO,UNIVERSAL,Diagnostico y tratamiento,RESONANCIA MAGNETICA NUCLEAR,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
68529,FEDERACION MEDICA DEL CHACO,UNIVERSAL,Diagnostico y tratamiento,TOMOGRAFIA COMPUTADA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
68529,FEDERACION MEDICA DEL CHACO,UNIVERSAL,Clinicas y sanatorios para internacion,INTERNACION PEDIATRICA,CHACO,Contactarse con Seccional,0362 443 8310,Resistencia
10789,APROSAL,UNIVERSAL,Profesionales,GASTROENTEROLOGIA,CHUBUT,Julio A. Roca 210,0280 4421572,Trelew
10789,APROSAL,UNIVERSAL,Profesionales,NUTRICION Y DIABETES,CHUBUT,Julio A. Roca 210,0280 4421572,Trelew
451,ASOC. DE SANAT.DEL ESTE DEL CHUBUT ASECH,UNIVERSAL,Clinicas y sanatorios para internacion,INTERNACION GENERAL,CHUBUT,Contactarse con Seccional,0280 154112034,Trelew
11283,ASOC. BIOQUIMICA CLINICA ZONA SUR CHUBUT,UNIVERSAL,Diagnostico y tratamiento,ANALISIS CLINICOS,CHUBUT,Contactarse con Seccional,0217 4063426 Cel.02174 058722,Comodoro Rivadavia
449,ASOC. BIOQUIMICA DEL NORESTE DEL CHUBUT,UNIVERSAL,Diagnostico y tratamiento,ANALISIS CLINICOS,CHUBUT,Contactarse con Seccional,0280 154112034,Trelew
11105,ASOC. DE KINES. Y FISIOT. DE ESQUEL,UNIVERSAL,Profesionales,KINESIOLOGIA,CHUBUT,Contactarse con Seccional,02145 521483,Esquel
10234,ATOCH TRELEW,UNIVERSAL,Profesionales,TRAUMATOLOGIA,CHUBUT,Contactarse con Seccional,0280 154112034,Trelew
10234,ATOCH TRELEW,UNIVERSAL,Profesionales,CIRUGIA TRAUMATOLOGICA,CHUBUT,Contactarse con Seccional,0280 154112034,Trelew
59275,CEMPENTA SA,UNIVERSAL,Diagnostico y tratamiento,ECODOPPLER,CHUBUT,Rawson 820,0217 4472 887,Comodoro Rivadavia
59275,CEMPENTA SA,UNIVERSAL,Diagnostico y tratamiento,ECOGRAFIA,CHUBUT,Rawson 820,0217 4472 887,Comodoro Rivadavia
59275,CEMPENTA SA,UNIVERSAL,Diagnostico y tratamiento,RADIOLOGIA,CHUBUT,Rawson 820,0217 4472 887,Comodoro Rivadavia
59275,CEMPENTA SA,UNIVERSAL,Diagnostico y tratamiento,RESONANCIA MAGNETICA NUCLEAR,CHUBUT,Rawson 820,0217 4472 887,Comodoro Rivadavia
59275,CEMPENTA SA,UNIVERSAL,Diagnostico y tratamiento,TOMOGRAFIA COMPUTADA,CHUBUT,Rawson 820,0217 4472 887,Comodoro Rivadavia
606,CIRC. DE KINES. Y FISIOT. DEL CHUBUT,UNIVERSAL,Profesionales,KINESIOLOGIA,CHUBUT,Contactarse con Seccional,0280 154112034,Trelew
1760,CIRCULO BIOQUIMICO DEL OESTE DEL CHUBUT,UNIVERSAL,Diagnostico y tratamiento,ANALISIS CLINICOS,CHUBUT,Contactarse con Seccional,02145 521483,Esquel
1500,CIRCULO MEDICO DEL OESTE DEL CHUBUT,UNIVERSAL,Profesionales,CLINICA MEDICA,CHUBUT,Contactarse con Seccional,02145 521483,Esquel
2110,CIRC. DE KINES. Y FISIOT. DE P. MADRYN,UNIVERSAL,Profesionales,KINESIOLOGIA,CHUBUT,Contactarse con Seccional,0280 154112034,Puerto Madryn
2147,COLEGIO BIOQUIMICO DE PUERTO MADRYN,UNIVERSAL,Diagnostico y tratamiento,ANALISIS CLINICOS,CHUBUT,Contactarse con Seccional,0280 154112034,Puerto Madryn
429,COLEGIO MEDICO DE PUERTO MADRYN,UNIVERSAL,Profesionales,CIRUGIA PLASTICA Y REPARADORA,CHUBUT,Contactarse con Seccional,0280 154112034,Puerto Madryn
